"word","coef","var","label","theme"
"etat",0.429785179606821,"rev_CP","Revenu médian","etat"
"simplification",0.167320947785862,"rev_CP","Revenu médian","etat"
"publique",0.141679453089727,"rev_CP","Revenu médian","etat"
"service",0.141164298836988,"rev_CP","Revenu médian","etat"
"elus",0.109131470623168,"rev_CP","Revenu médian","etat"
"sante",0.0957293601957616,"rev_CP","Revenu médian","etat"
"efficacite",0.0919001857879312,"rev_CP","Revenu médian","etat"
"fonction",0.0842418369722702,"rev_CP","Revenu médian","etat"
"ecole",-0.118226600985222,"rev_CP","Revenu médian","etat"
"retraite",-0.133004926108374,"rev_CP","Revenu médian","etat"
"langues",-0.137931034482759,"rev_CP","Revenu médian","etat"
"regionales",-0.142857142857143,"rev_CP","Revenu médian","etat"
"publiques",-0.29064039408867,"rev_CP","Revenu médian","etat"
"route",-0.655172413793103,"rev_CP","Revenu médian","etat"
"stop",-1,"rev_CP","Revenu médian","etat"
"stop",1,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"route",0.655172413793103,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"publiques",0.29064039408867,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"regionales",0.142857142857143,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"langues",0.137931034482759,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"retraite",0.133004926108374,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"ecole",0.118226600985222,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"grand",0.083743842364532,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"sante",-0.0870563485192741,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"simplification",-0.0975531427405853,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"elus",-0.0992442373119725,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"public",-0.116425519933468,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"publique",-0.128843395808526,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"organisation",-0.183224225379663,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"etat",-0.250577680372876,"C15_POP15P_CS6mean_CP","% Ouvriers","etat"
"public",0.192649583829454,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"etat",0.163106635561204,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"publique",0.140051153734877,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"service",0.125128569877317,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"elus",0.107877240039027,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"sante",0.0946291579289711,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"efficacite",0.0908439916118122,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"grand",-0.083743842364532,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"ecole",-0.118226600985222,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"retraite",-0.133004926108374,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"langues",-0.137931034482759,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"regionales",-0.142857142857143,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"publiques",-0.29064039408867,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"route",-0.655172413793103,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"stop",-1,"C15_POP15P_CS3mean_CP","% Cadre et prof. Int. Sup.","etat"
"stop",1,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"route",0.655172413793103,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"publiques",0.29064039408867,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"regionales",0.142857142857143,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"langues",0.137931034482759,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"retraite",0.133004926108374,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"ecole",0.118226600985222,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"proximite",-0.0903613676956991,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"fonction",-0.102947235492868,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"efficacite",-0.112306075083129,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"sante",-0.116985494878259,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"elus",-0.133363464161215,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"service",-0.155023095244387,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"publique",-0.173138532419823,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"public",-0.285836979445579,"C15_POP15P_CS7mean_CP","% Retraités","etat"
"stop",1,"C15_POP15P_CS5mean_CP","% Employés","etat"
"route",0.655172413793104,"C15_POP15P_CS5mean_CP","% Employés","etat"
"publiques",0.29064039408867,"C15_POP15P_CS5mean_CP","% Employés","etat"
"regionales",0.142857142857143,"C15_POP15P_CS5mean_CP","% Employés","etat"
"langues",0.137931034482759,"C15_POP15P_CS5mean_CP","% Employés","etat"
"retraite",0.133004926108374,"C15_POP15P_CS5mean_CP","% Employés","etat"
"ecole",0.118226600985222,"C15_POP15P_CS5mean_CP","% Employés","etat"
"simplification",-0.111034273468916,"C15_POP15P_CS5mean_CP","% Employés","etat"
"fonction",-0.1130915927955,"C15_POP15P_CS5mean_CP","% Employés","etat"
"efficacite",-0.123372646685999,"C15_POP15P_CS5mean_CP","% Employés","etat"
"sante",-0.128513173631249,"C15_POP15P_CS5mean_CP","% Employés","etat"
"elus",-0.146505017939624,"C15_POP15P_CS5mean_CP","% Employés","etat"
"publique",-0.190199496974249,"C15_POP15P_CS5mean_CP","% Employés","etat"
"service",-0.201290727772493,"C15_POP15P_CS5mean_CP","% Employés","etat"
"etat",-0.285205682831921,"C15_POP15P_CS5mean_CP","% Employés","etat"
"stop",1,"taux_abstentionmean_CP","% Abstention","etat"
"route",0.655172413793103,"taux_abstentionmean_CP","% Abstention","etat"
"publiques",0.29064039408867,"taux_abstentionmean_CP","% Abstention","etat"
"regionales",0.142857142857143,"taux_abstentionmean_CP","% Abstention","etat"
"langues",0.137931034482759,"taux_abstentionmean_CP","% Abstention","etat"
"retraite",0.133004926108374,"taux_abstentionmean_CP","% Abstention","etat"
"nombre",-0.132195733493286,"taux_abstentionmean_CP","% Abstention","etat"
"collectivites",-0.157990022955391,"taux_abstentionmean_CP","% Abstention","etat"
"fonction",-0.181630255569623,"taux_abstentionmean_CP","% Abstention","etat"
"efficacite",-0.198142096985043,"taux_abstentionmean_CP","% Abstention","etat"
"sante",-0.206398017692754,"taux_abstentionmean_CP","% Abstention","etat"
"elus",-0.235293740169739,"taux_abstentionmean_CP","% Abstention","etat"
"trop",-0.271281866190511,"taux_abstentionmean_CP","% Abstention","etat"
"etat",-0.279223206701345,"taux_abstentionmean_CP","% Abstention","etat"
"publique",-0.305469066185275,"taux_abstentionmean_CP","% Abstention","etat"
"organisation",0.807458013885996,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"stop",0.740962399855776,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"route",0.48545812404344,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"collectivites",0.374120824678696,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"nombre",0.313039873710746,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"emploi",0.267229160484783,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"internet",0.267229160484783,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"regions",-0.294871794871795,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"fonction",-0.364044844668923,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"efficacite",-0.397139830547915,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"sante",-0.413687323487412,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"francais",-0.423076923076923,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"elus",-0.47160354877565,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"publique",-0.61225723876137,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"trop",-1,"score_MACRONmean_CP","% Vote Emmanuel Macron","etat"
"etat",1,"score_FILLONmean_CP","% Vote François Fillon","etat"
"organisation",0.803354018896309,"score_FILLONmean_CP","% Vote François Fillon","etat"
"simplification",0.389312977099237,"score_FILLONmean_CP","% Vote François Fillon","etat"
"vie",0.24801533469282,"score_FILLONmean_CP","% Vote François Fillon","etat"
"administrations",0.221057146139253,"score_FILLONmean_CP","% Vote François Fillon","etat"
"justice",0.167140769032118,"score_FILLONmean_CP","% Vote François Fillon","etat"
"egalite",0.161749131321404,"score_FILLONmean_CP","% Vote François Fillon","etat"
"territoires",0.134790942767837,"score_FILLONmean_CP","% Vote François Fillon","etat"
"depenses",-0.178370923144229,"score_FILLONmean_CP","% Vote François Fillon","etat"
"efficace",-0.189878724637405,"score_FILLONmean_CP","% Vote François Fillon","etat"
"proximite",-0.281941136582814,"score_FILLONmean_CP","% Vote François Fillon","etat"
"administration",-0.51529807491975,"score_FILLONmean_CP","% Vote François Fillon","etat"
"publics",-0.631530723397889,"score_FILLONmean_CP","% Vote François Fillon","etat"
"public",-0.891854615721147,"score_FILLONmean_CP","% Vote François Fillon","etat"
"services",-0.956982139136678,"score_FILLONmean_CP","% Vote François Fillon","etat"
