"X","Id1","Id2","CODE_DEPT","total","question","id","theme"
1,"Ecolo_0","Ecolo_0c","L'érosion du littoral",540,"Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?",160,"La transition écologique"
2,"Ecolo_0","Ecolo_0d","La biodiversité et la disparition de certaines espèces",15560,"Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?",160,"La transition écologique"
3,"Ecolo_0","Ecolo_0a","La pollution de l'air",15783,"Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?",160,"La transition écologique"
4,"Ecolo_0","Ecolo_0b","Les dérèglements climatiques (crue, sécheresse)",22933,"Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?",160,"La transition écologique"
5,"Ecolo_2","Ecolo_2b","Non",26586,"Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?",146,"La transition écologique"
6,"Ecolo_2","Ecolo_2a","Oui",52697,"Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?",146,"La transition écologique"
7,"Ecolo_4","Ecolo_4b","Non",4450,"À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?",148,"La transition écologique"
8,"Ecolo_4","Ecolo_4a","Oui",74801,"À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?",148,"La transition écologique"
9,"Ecolo_8","Ecolo_8b","Non",30254,"Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?",152,"La transition écologique"
10,"Ecolo_8","Ecolo_8a","Oui",45088,"Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?",152,"La transition écologique"
11,"Ecolo_10","Ecolo_10c","Je n'utilise pas la voiture",16854,"Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle (...) ?",154,"La transition écologique"
12,"Ecolo_10","Ecolo_10b","Non",28982,"Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle (...)?",154,"La transition écologique"
13,"Ecolo_10","Ecolo_10a","Oui",32160,"Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle (...)?",154,"La transition écologique"
14,"Ecolo_12","Ecolo_12c","L'auto partage",8490,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,"La transition écologique"
15,"Ecolo_12","Ecolo_12b","Le covoiturage",12992,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,"La transition écologique"
16,"Ecolo_12","Ecolo_12d","Le transport à la demande",13838,"Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",207,"La transition écologique"
